Tno,From,To
14154,Amritsar Junction,Kanpur Central
15934,Amritsar Junction,Dibrugarh
14632,Amritsar Junction,Dehradun
54602,Amritsar Junction,Sadulpur Junction
12054,Amritsar Junction,Haridwar Junction
13050,Amritsar Junction,Howrah Junction
13006,Amritsar Junction,Howrah Junction
19326,Amritsar Junction,Indore Junction Bg
19772,Amritsar Junction,Ajmer Junction
19782,Amritsar Junction,Ajmer Junction
12484,Amritsar Junction,Kochuveli
15708,Amritsar Junction,Katihar Junction
12358,Amritsar Junction,Kolkata
14616,Amritsar Junction,Lal Kuan
11058,Amritsar Junction,Lokmanyatilak T
12460,Amritsar Junction,New Delhi
12716,Amritsar Junction,Nanded
12422,Amritsar Junction,Nanded
14002,Atari,Delhi
12953,Mumbai Central,H Nizamuddin
57549,Hyderabad Decan,Aurangabad
15910,Lalgarh Junction,New Tinsukia Junction
15610,Lalgarh Junction,New Tinsukia Junction
19040,Muzaffarpur Junction,Bandra Terminus
19037,Bandra Terminus,Gorakhpur Junction
19039,Bandra Terminus,Muzaffarpur Junction
19038,Gorakhpur Junction,Bandra Terminus
12962,Indore Junction Bg,Mumbai Central
12961,Mumbai Central,Indore Junction Bg
17619,Aurangabad,Nanded
7505,Aurangabad,Kollam Junction
17621,Aurangabad,Renigunta Junction
7405,Aurangabad,Tirupati
14808,Alwar,Jaipur
4805,Alwar,Khairthal
12129,Pune Junction,Howrah Junction
12130,Howrah Junction,Pune Junction
12948,Patna Junction,Ahmedabad Junction
12947,Ahmedabad Junction,Patna Junction
15665,Kamakhya,Dimapur
15666,Dimapur,Kamakhya
18450,Patna Junction,Puri
18449,Puri,Patna Junction
13019,Howrah Junction,Kathgodam
13020,Kathgodam,Howrah Junction
12577,Darbhanga Junction,Mysore Junction
12578,Mysore Junction,Darbhanga Junction
74639,Banihal,Srinagar
19452,Gandhidham Bg,Bandra Terminus
6347,Eranakulam Junction,Bangalore Cy Junction
6542,Villuparam Junction,Bangalore Cy Junction
12785,Kacheguda,Bangalore Cy Junction
12609,Chennai Central,Bangalore Cy Junction
6516,Tirunelveli,Bangalore Cy Junction
16525,Kanyakumari,Bangalore Cy Junction
16518,Kannur,Bangalore Cy Junction
16524,Karwar,Bangalore Cy Junction
6590,Hubli Junction,Bangalore Cy Junction
16228,Talguppa,Bangalore Cy Junction
17236,Nagercoil Junction,Bangalore Cy Junction
12678,Eranakulam Junction,Bangalore Cy Junction
16316,Kochuveli,Bangalore Cy Junction
6029,Chennai Central,Bangalore Cy Junction
12657,Chennai Central,Bangalore Cy Junction
56263,Mysore Junction,Bangalore Cy Junction
22607,Eranakulam Junction,Bangalore Cy Junction
12683,Eranakulam Junction,Bangalore Cy Junction
12494,H Nizamuddin,Bangalore Cy Junction
22694,H Nizamuddin,Bangalore Cy Junction
22692,H Nizamuddin,Bangalore Cy Junction
13241,Banka,Rjndr Ngr Bihar
15694,Silchar,Lumding Junction
15693,Lumding Junction,Silchar
14555,Bareilly,Delhi
14556,Delhi,Bareilly
14313,Lokmanyatilak T,Bareilly
14322,Bhuj,Bareilly
28624,Barka Kana,Rjndr Ngr Bihar
14888,Barmer,Kalka
14805,Yesvantpur Junction,Barmer
17307,Mysore Junction,Bagalkot
17308,Bagalkot,Mysore Junction
51029,Mumbai Cst,Bijapur
18404,Barabil,Chakradharpur
12021,Howrah Junction,Barabil
12022,Barabil,Howrah Junction
18415,Barabil,Puri
