Tno,From,To
12371,Howrah Junction,Jaisalmer
12307,Howrah Junction,Bikaner Junction
4824,Howrah Junction,Jodhpur Junction
15711,Howrah Junction,Katihar Junction
18005,Howrah Junction,Jagdalpur
12353,Howrah Junction,Lal Kuan
2242,Howrah Junction,Lokmanyatilak T
3061,Howrah Junction,Lokmanyatilak T
2870,Howrah Junction,Lokmanyatilak T
12839,Howrah Junction,Chennai Central
2841,Howrah Junction,Chennai Central
53049,Howrah Junction,Mokameh Junction
53003,Howrah Junction,Malda Town
13011,Howrah Junction,Malda Town
3465,Howrah Junction,Malda Town
12810,Howrah Junction,Mumbai Cst
12321,Howrah Junction,Mumbai Cst
22817,Howrah Junction,Mysore Junction
12323,Howrah Junction,New Delhi
12249,Howrah Junction,New Delhi
22309,Howrah Junction,New Jalpaiguri
3063,Howrah Junction,New Jalpaiguri
12906,Howrah Junction,Okha
12867,Howrah Junction,Puducherry
2241,Lokmanyatilak T,Howrah Junction
12827,Howrah Junction,Purulia Junction
12222,Howrah Junction,Pune Junction
12837,Howrah Junction,Puri
12895,Howrah Junction,Puri
12887,Howrah Junction,Puri
12881,Howrah Junction,Puri
18627,Howrah Junction,Ranchi
22891,Howrah Junction,Ranchi
18617,Howrah Junction,Ranchi
13043,Howrah Junction,Raxual Junction
3029,Howrah Junction,Raxual Junction
3043,Howrah Junction,Raxual Junction
3543,Howrah Junction,Raxual Junction
22803,Howrah Junction,Sambalpur
22894,Howrah Junction,Sainagar Shirdi
22831,Howrah Junction,Sai P Nilayam
13053,Howrah Junction,Siuri
12663,Howrah Junction,Tiruchchirapali
22863,Howrah Junction,Yesvantpur Junction
12245,Howrah Junction,Yesvantpur Junction
12863,Howrah Junction,Yesvantpur Junction
2863,Howrah Junction,Yesvantpur Junction
7091,Hyderabad Decan,Allahabad Junction
7028,Hyderabad Decan,Vishakapatnam
17020,Hyderabad Decan,Ajmer Junction
12720,Hyderabad Decan,Ajmer Junction
57130,Hyderabad Decan,Bijapur
7011,Hyderabad Decan,Belampalli
7001,Hyderabad Decan,Kakinada Town
7125,Hyderabad Decan,Ajmer Junction
17003,Hyderabad Decan,C Shahumharaj T
11303,Hyderabad Decan,C Shahumharaj T
1032,Hyderabad Decan,C Shahumharaj T
7003,Hyderabad Decan,Kota Junction
6306,Hyderabad Decan,Chennai Central
57563,Hyderabad Decan,Parbhani Junction
17014,Hyderabad Decan,Pune Junction
7115,Hyderabad Decan,Kollam Junction
7109,Hyderabad Decan,Kollam Junction
7166,Hyderabad Decan,Kollam Junction
7429,Hyderabad Decan,Renigunta Junction
17005,Hyderabad Decan,Raxual Junction
7128,Hyderabad Decan,Shalimar
7110,Kollam Junction,Hyderabad Decan
7106,Kollam Junction,Hyderabad Decan
7108,Kollam Junction,Hyderabad Decan
12603,Chennai Central,Hyderabad Decan
17031,Mumbai Cst,Hyderabad Decan
7165,Kollam Junction,Hyderabad Decan
57550,Aurangabad,Hyderabad Decan
22941,Indore Junction Bg,Jammu Tawi
19325,Indore Junction Bg,Amritsar Junction
14317,Indore Junction Bg,Dehradun
22183,Habibganj,Indore Junction Bg
22185,Bhopal Junction,Indore Junction Bg
11125,Indore Junction Bg,Gwalior
22944,Indore Junction Bg,Pune Junction
19312,Indore Junction Bg,Pune Junction
59307,Indore Junction Bg,Jaipur
9311,Indore Junction Bg,Ajmer Junction
14319,Indore Junction Bg,Bareilly
9302,Indore Junction Bg,Bandra Terminus
19801,Kota Junction,Indore Junction Bg
11701,Jabalpur,Indore Junction Bg
19324,Habibganj,Indore Junction Bg
9307,Indore Junction Bg,Jammu Tawi
11471,Indore Junction Bg,Jabalpur
9728,Indore Junction Bg,Jaipur
12923,Indore Junction Bg,Nagpur
19313,Indore Junction Bg,Patna Junction
9305,Indore Junction Bg,Patna Junction
19321,Indore Junction Bg,Rjndr Ngr Bihar
9309,Indore Junction Bg,Sealdah
21125,Indore Junction Bg,Bhind
12227,Mumbai Central,Indore Junction Bg
19314,Rjndr Ngr Bihar,Indore Junction Bg
19310,Indore Junction Bg,Gandhinagar Cap
22105,Mumbai Cst,Pune Junction
22106,Pune Junction,Mumbai Cst
18411,Bhubaneswar,Vishakapatnam
18412,Vishakapatnam,Bhubaneswar
15603,Kamakhya,Ledo
15720,Siliguri Junction,Katihar Junction
15719,Katihar Junction,Siliguri Junction
13401,Bhagalpur,Danapur
12383,Sealdah,Asansol Junction
12384,Asansol Junction,Sealdah
12416,H Nizamuddin,Indore Junction Bg
13402,Danapur,Bhagalpur
15604,Ledo,Kamakhya
12128,Pune Junction,Mumbai Cst
12725,Bangalore Cy Junction,Dharwar
12127,Mumbai Cst,Pune Junction
12726,Dharwar,Bangalore Cy Junction
14316,New Delhi,Bareilly
19412,Ajmer Junction,Ahmedabad Junction
12481,Delhi,Shri Ganganagar
14211,Agra Cantt,New Delhi
22610,Coimbatore Junction,Mangalore Cntl
22609,Mangalore Cntl,Coimbatore Junction
13504,Asansol Junction,Sealdah
14212,New Delhi,Agra Cantt
12412,Amritsar Junction,Chandigarh
12411,Chandigarh,Amritsar Junction
13235,Sahibganj Junction,Danapur
13236,Danapur,Sahibganj Junction
15616,Dekargaon,Kamakhya
15615,Kamakhya,Dekargaon
15713,Katihar Junction,Patna Junction
12466,Jodhpur Junction,Indore Junction Bg
19802,Indore Junction Bg,Kota Junction
12482,Shri Ganganagar,Delhi
14315,Bareilly,New Delhi
15471,Alipur Duar Junction,Kamakhya
15470,Lumding Junction,Alipur Duar Junction
11452,Rewa,Jabalpur
15469,Alipur Duar Junction,Lumding Junction
15472,Kamakhya,Alipur Duar Junction
19323,Indore Junction Bg,Habibganj
11451,Jabalpur,Rewa
15714,Patna Junction,Katihar Junction
13465,Howrah Junction,Malda Town
13466,Malda Town,Howrah Junction
12530,Jabalpur,Habibganj
13225,Jaynagar,Danapur
13226,Danapur,Jaynagar
12529,Habibganj,Jabalpur
22187,Habibganj,Jabalpur
22188,Jabalpur,Habibganj
18695,Islampur,Rjndr Ngr Bihar
12871,Howrah Junction,Titlagarh
12872,Titlagarh,Howrah Junction
58112,Itwari,Tatanagar Junction
1705,Jabalpur,Naini
19771,Ajmer Junction,Amritsar Junction
12239,Mumbai Central,Jaipur
12967,Chennai Central,Jaipur
12975,Mysore Junction,Jaipur
19573,Okha,Jaipur
12973,Indore Junction Bg,Jaipur
54805,Ahmedabad Junction,Jaipur
9043,Bandra Terminus,Jaipur
9047,Bandra Terminus,Jaipur
9025,Bandra Terminus,Jaipur
12979,Bandra Terminus,Jaipur
18103,Tatanagar Junction,Amritsar Junction
12380,Amritsar Junction,Sealdah
18104,Amritsar Junction,Tatanagar Junction
12379,Sealdah,Amritsar Junction
12477,Jamnagar,Jammu Tawi
12414,Jammu Tawi,Ajmer Junction
12207,Kathgodam,Jammu Tawi
15654,Jammu Tawi,Guwahati
12588,Jammu Tawi,Gorakhpur Junction
24033,Delhi,Hoshiarpur
14033,Delhi,Udhampur
24034,Hoshiarpur,Delhi
14034,Udhampur,Delhi
12425,New Delhi,Jammu Tawi
12426,Jammu Tawi,New Delhi
13151,Kolkata,Jammu Tawi
11449,Jabalpur,Jammu Tawi
19059,Surat,Jamnagar
12078,Vijayawada Junction,Chennai Central
12081,Kannur,Trivandrum Cntl
12076,Trivandrum Cntl,Kozhikode
12077,Chennai Central,Vijayawada Junction
12075,Kozhikode,Trivandrum Cntl
12082,Trivandrum Cntl,Kannur
12051,Dadar,Madgaon
12052,Madgaon,Dadar
12084,Coimbatore Junction,Mayiladuturai J
12068,Jorhat Town,Guwahati
12080,Hubli Junction,Bangalore Cy Junction
12067,Guwahati,Jorhat Town
12071,Dadar,Aurangabad
12083,Mayiladuturai J,Coimbatore Junction
13419,Bhagalpur,Muzaffarpur Junction
13205,Saharsa Junction,Danapur
13206,Danapur,Saharsa Junction
19107,Ahmedabad Junction,Udhampur
12806,Secunderabad Junction,Vishakapatnam
19108,Udhampur,Ahmedabad Junction
12805,Vishakapatnam,Secunderabad Junction
13420,Muzaffarpur Junction,Bhagalpur
12070,Gondia Junction,Raigarh
12023,Howrah Junction,Patna Junction
12024,Patna Junction,Howrah Junction
12072,Aurangabad,Dadar
12079,Bangalore Cy Junction,Hubli Junction
12069,Raigarh,Gondia Junction
11450,Jammu Tawi,Jabalpur
19224,Jammu Tawi,Ahmedabad Junction
2208,Jammu Tawi,Ahmedabad Junction
4132,Jammu Tawi,Allahabad Junction
19226,Jammu Tawi,Bhatinda Junction
14502,Jammu Tawi,Bhatinda Junction
12470,Jammu Tawi,Kanpur Central
2452,Jammu Tawi,Kanpur Central
2172,Jammu Tawi,Mumbai Cst
4038,Jammu Tawi,Delhi
18216,Jammu Tawi,Durg
12550,Jammu Tawi,Durg
2530,Jammu Tawi,Gorakhpur Junction
5044,Jammu Tawi,Gorakhpur Junction
12476,Jammu Tawi,Hapa
3004,Jammu Tawi,Howrah Junction
22942,Jammu Tawi,Indore Junction Bg
9308,Jammu Tawi,Indore Junction Bg
12478,Jammu Tawi,Jamnagar
19804,Jammu Tawi,Kota Junction
18110,Jammu Tawi,Tatanagar Junction
2445,New Delhi,Jammu Tawi
14714,Jammu Tawi,Shri Ganganagar
4734,Jammu Tawi,Shri Ganganagar
5720,Jogbani,Delhi
13160,Jogbani,Kolkata
22181,Jabalpur,H Nizamuddin
12160,Jabalpur,Amravati
1753,Jabalpur,Bilaspur Junction
1755,Jabalpur,Bilaspur Junction
58870,Jabalpur,Balaghat Junction
58868,Jabalpur,Balaghat Junction
1731,Jabalpur,Chennai Central
1702,Jabalpur,Mumbai Cst
1707,Jabalpur,Durg
12188,Mumbai Cst,Jabalpur
2188,Mumbai Cst,Jabalpur
1709,Jabalpur,Gaya Junction
1674,Jabalpur,Habibganj
11472,Jabalpur,Indore Junction Bg
11702,Indore Junction Bg,Jabalpur
11652,Singrauli,Jabalpur
12061,Habibganj,Jabalpur
12192,Jabalpur,New Delhi
58840,Jabalpur,Nagpur
2181,Jabalpur,H Nizamuddin
1656,Jabalpur,Pune Junction
51701,Jabalpur,Rewa
1265,Jabalpur,Rewa
11466,Jabalpur,Somnath
11464,Jabalpur,Somnath
12194,Jabalpur,Yesvantpur Junction
18212,Jagdalpur,Durg
8002,Jhargram,Kharagpur Junction
15941,Jhajha,Dibrugarh
12874,Anand Vihar Trm,Hatia
12818,Anand Vihar Trm,Hatia
12873,Hatia,Anand Vihar Trm
12817,Hatia,Anand Vihar Trm
11077,Pune Junction,Jammu Tawi
11078,Jammu Tawi,Pune Junction
12825,Ranchi,New Delhi
12826,New Delhi,Ranchi
11103,Jhansi Junction,Bandra Terminus
11109,Jhansi Junction,Lucknow Ne
13072,Jamalpur Junction,Howrah Junction
12101,Lokmanyatilak T,Howrah Junction
12102,Howrah Junction,Lokmanyatilak T
14802,Gandhidham Bg,Jodhpur Junction
16508,Bangalore Cy Junction,Jodhpur Junction
22484,Gandhidham Bg,Jodhpur Junction
52546,Darjeeling,To Darjeeling
52549,Darjeeling,To Darjeeling
52547,Darjeeling,To Darjeeling
52548,Darjeeling,To Darjeeling
52574,Darjeeling,To Darjeeling
12404,Jaipur,Allahabad Junction
54806,Jaipur,Ahmedabad Junction
9426,Jaipur,Ahmedabad Junction
12035,Jaipur,Agra Fort
9622,Jaipur,Ajmer Junction
9626,Jaipur,Ajmer Junction
3564,Jaipur,Asansol Junction
19781,Ajmer Junction,Amritsar Junction
14807,Jaipur,Alwar
12240,Jaipur,Mumbai Central
12956,Jaipur,Mumbai Central
9725,Jaipur,Bandra Terminus
22934,Jaipur,Bandra Terminus
9044,Jaipur,Bandra Terminus
9028,Jaipur,Bandra Terminus
9048,Jaipur,Bandra Terminus
9026,Jaipur,Bandra Terminus
9034,Jaipur,Bandra Terminus
9731,Jaipur,Bandra Terminus
12980,Jaipur,Bandra Terminus
12468,Jaipur,Bikaner Junction
19711,Jaipur,Indore Junction Bg
59805,Jaipur,Bayana Junction
12970,Jaipur,Coimbatore Junction
19717,Jaipur,Chandigarh
9705,Jaipur,Delhi S Rohilla
22986,Delhi S Rohilla,Jaipur
12986,Delhi S Rohilla,Jaipur
18214,Jaipur,Durg
8214,Jaipur,Durg
9717,Jaipur,Durg
9769,Jaipur,Phulera Junction
54833,Jaipur,Hisar
9703,Jaipur,Howrah Junction
12974,Jaipur,Indore Junction Bg
22478,Jaipur,Jodhpur Junction
9727,Jaipur,Kolkata
19715,Jaipur,Lucknow Ne
9707,Jaipur,Lucknow Ne
12968,Jaipur,Chennai Central
12976,Jaipur,Mysore Junction
11204,Jaipur,Nagpur
4551,Jaipur,Nangal Dam
19574,Jaipur,Okha
12940,Jaipur,Pune Junction
9759,Jaipur,Pune Junction
59802,Jaipur,Ratlam Junction
9736,Jaipur,Secunderabad Junction
19713,Jaipur,Secunderabad Junction
9715,Jaipur,Solapur Junction
9713,Jaipur,Solapur Junction
22695,Yesvantpur Junction,Jaipur
9767,Jaipur,Sawai Madhopur
12992,Jaipur,Udaipur City
9721,Jaipur,Udaipur City
6512,Jaipur,Yesvantpur Junction
2696,Jaipur,Yesvantpur Junction
6530,Jaipur,Yesvantpur Junction
22696,Jaipur,Yesvantpur Junction
19064,Jaisalmer,Bandra Terminus
22932,Jaisalmer,Bandra Terminus
9046,Jaisalmer,Bandra Terminus
14701,Jaisalmer,Bikaner Junction
14660,Jaisalmer,Delhi
12372,Jaisalmer,Howrah Junction
9710,Jaisalmer,Jaipur
14809,Jaisalmer,Jodhpur Junction
4802,Jaisalmer,Jodhpur Junction
14703,Jaisalmer,Lalgarh Junction
53140,Jasidih Junction,Kolkata
15605,Kamakhya,Dibrugarh
54801,Jodhpur Junction,Ajmer Junction
9618,Jodhpur Junction,Ajmer Junction
9614,Jodhpur Junction,Ajmer Junction
9020,Jodhpur Junction,Bandra Terminus
19056,Jodhpur Junction,Valsad
54812,Jodhpur Junction,Bhopal Junction
54704,Jodhpur Junction,Bhatinda Junction
22481,Jodhpur Junction,Delhi S Rohilla
14801,Jodhpur Junction,Gandhidham Bg
22483,Jodhpur Junction,Gandhidham Bg
4823,Jodhpur Junction,Howrah Junction
12308,Jodhpur Junction,Howrah Junction
22477,Jodhpur Junction,Jaipur
14810,Jodhpur Junction,Jaisalmer
4801,Jodhpur Junction,Jaisalmer
14889,Bhagat Ki Kothi,Munabao
16126,Jodhpur Junction,Chennai Egmore
4825,Jodhpur Junction,Pune Junction
18474,Jodhpur Junction,Puri
4821,Jodhpur Junction,Sealdah
14682,Jalandhar City,New Delhi
52551,Siliguri Junction,Siliguri
52559,Siliguri Junction,Siliguri
12569,Jaynagar,Anand Vihar Trm
3586,Jaynagar,Asansol Junction
18420,Jaynagar,Puri
12570,Anand Vihar Trm,Jaynagar
13136,Jaynagar,Kolkata
1050,Jaynagar,Lokmanyatilak T
5513,Jaynagar,Lokmanyatilak T
18606,Jaynagar,Ranchi
2698,Jaynagar,Yesvantpur Junction
14257,Varanasi Junction,New Delhi
7116,Kollam Junction,Kacheguda
17651,Chennai Egmore,Kacheguda
12786,Bangalore Cy Junction,Kacheguda
7686,Bangalore Cy Junction,Kacheguda
17616,Madurai Junction,Kacheguda
2759,Chennai Central,Kacheguda
17604,Yesvantpur Junction,Kacheguda
16354,Nagercoil Junction,Kacheguda
6308,Nagercoil Junction,Kacheguda
14020,Delhi S Rohilla,Chhindwara Junction
12226,Delhi,Azamgarh
12225,Azamgarh,Delhi
57626,Manuguru,Secunderabad Junction
57625,Secunderabad Junction,Manuguru
57257,Tirupati,Kakinada Port
7212,Kollam Junction,Kakinada Town
14723,Kanpur Central,Bhiwani
14724,Bhiwani,Kanpur Central
18478,Haridwar Junction,Puri
12312,Kalka,Howrah Junction
12006,Kalka,New Delhi
12005,New Delhi,Kalka
12012,Kalka,New Delhi
12011,New Delhi,Kalka
52453,Kalka,Simla
15667,Gandhidham Bg,Kamakhya
11071,Lokmanyatilak T,Varanasi Junction
11072,Varanasi Junction,Lokmanyatilak T
15959,Howrah Junction,Dibrugarh
15960,Dibrugarh,Howrah Junction
15657,Sealdah,Guwahati
25657,Sealdah,Silchar
15658,Guwahati,Sealdah
25658,Silchar,Sealdah
13150,Alipur Duar Junction,Sealdah
13149,Sealdah,Alipur Duar Junction
18001,Howrah Junction,Digha Flag Stn
18002,Digha Flag Stn,Howrah Junction
14019,Chhindwara Junction,Delhi S Rohilla
16517,Bangalore Cy Junction,Kannur
12665,Howrah Junction,Kanyakumari
12634,Kanyakumari,Chennai Egmore
16381,Mumbai Cst,Kanyakumari
12633,Chennai Egmore,Kanyakumari
16526,Bangalore Cy Junction,Kanyakumari
16175,Chennai Egmore,Karaikal
22511,Lokmanyatilak T,Kamakhya
15612,Kamakhya,Lokmanyatilak T
22512,Kamakhya,Lokmanyatilak T
15611,Lokmanyatilak T,Kamakhya
2001,Mumbai Cst,Karmali
12627,Bangalore Cy Junction,New Delhi
12628,New Delhi,Bangalore Cy Junction
12934,Ahmedabad Junction,Mumbai Central
12933,Mumbai Central,Ahmedabad Junction
16523,Bangalore Cy Junction,Karwar
14258,New Delhi,Varanasi Junction
9021,Bandra Terminus,Shmata V D Ktra
16021,Chennai Central,Mysore Junction
16022,Mysore Junction,Chennai Central
13028,Azimganj Junction,Howrah Junction
13027,Howrah Junction,Azimganj Junction
19709,Jaipur,Kamakhya
12949,Porbandar,Santragachi Junction
16516,Karwar,Yesvantpur Junction
17606,Kacheguda,Mangalore Cntl
17639,Kacheguda,Akola Junction
7337,Kacheguda,Kakinada Town
22117,Guntur Junction,Kacheguda
22119,Tirupati,Kacheguda
7129,Kacheguda,Ajmer Junction
2760,Kacheguda,Chennai Central
17615,Kacheguda,Madurai Junction
7615,Kacheguda,Madurai Junction
17652,Kacheguda,Chennai Egmore
16353,Kacheguda,Nagercoil Junction
6307,Kacheguda,Nagercoil Junction
17641,Kacheguda,Narkher
57620,Kacheguda,Repalle
7145,Kacheguda,Tirupati
16570,Kacheguda,Yesvantpur Junction
17603,Kacheguda,Vasco Da Gama
57305,Kacheguda,Guntur Junction
19259,Kochuveli,Bhavnagar Trmus
12201,Lokmanyatilak T,Kochuveli
22114,Kochuveli,Lokmanyatilak T
16562,Kochuveli,Yesvantpur Junction
12626,New Delhi,Trivandrum Cntl
12625,Trivandrum Cntl,New Delhi
12218,Chandigarh,Kochuveli
12039,Kathgodam,Anand Vihar Trm
14119,Kathgodam,Dehradun
12209,Kanpur Central,Kathgodam
12208,Jammu Tawi,Kathgodam
15044,Kathgodam,Lucknow Ne
52587,Kurseong,Darjeeling
52545,Kurseong,Darjeeling
22875,Kharagpur Junction,Purulia Junction
8001,Kharagpur Junction,Jhargram
22603,Kharagpur Junction,Villuparam Junction
22604,Villuparam Junction,Kharagpur Junction
11018,Karaikal,Lokmanyatilak T
15707,Katihar Junction,Amritsar Junction
5735,Katihar Junction,Dekargaon
15712,Katihar Junction,Howrah Junction
28182,Katihar Junction,Tatanagar Junction
14520,Bhatinda Junction,Delhi
14519,Delhi,Bhatinda Junction
14887,Kalka,Shri Ganganagar
52457,Kalka,Simla
22456,Kalka,Sainagar Shirdi
14503,Kalka,Shmata V D Ktra
15049,Kolkata,Gorakhpur Junction
4832,Kolkata,Jodhpur Junction
3113,Kolkata,New Delhi
3159,Kolkata,Patna Junction
19414,Kolkata,Ahmedabad Junction
12319,Kolkata,Agra Cantt
13167,Kolkata,Agra Cantt
3137,Kolkata,Ajmer Junction
13131,Kolkata,Giridih
13161,Kolkata,Balurghat
13117,Kolkata,Lalgola
15233,Kolkata,Darbhanga Junction
12525,Kolkata,Dibrugarh
5941,Kolkata,Dibrugarh
15051,Kolkata,Gorakhpur Junction
3135,Kolkata,Gorakhpur Junction
3131,Kolkata,Gorakhpur Junction
12363,Kolkata,Haldibari
3115,Kolkata,Haridwar Junction
53139,Kolkata,Jasidih Junction
13135,Kolkata,Jaynagar
3585,Kolkata,Jaynagar
5643,Kolkata,Kamakhya
3571,Kolkata,Muzaffarpur Junction
5225,Kolkata,Muzaffarpur Junction
3129,Kolkata,New Jalpaiguri
12325,Kolkata,Nangal Dam
13165,Kolkata,Sitamarhi
16561,Yesvantpur Junction,Kochuveli
12777,Hubli Junction,Kochuveli
6315,Chennai Central,Kochuveli
6081,Chennai Central,Kochuveli
19262,Porbandar,Kochuveli
6339,Chennai Central,Kochuveli
16315,Bangalore Cy Junction,Kochuveli
6313,Bangalore Cy Junction,Kochuveli
6011,Chennai Central,Kochuveli
12257,Yesvantpur Junction,Kochuveli
12360,Patna Junction,Kolkata
12518,Guwahati,Kolkata
11049,Ahmedabad Junction,C Shahumharaj T
12306,New Delhi,Howrah Junction
19413,Ahmedabad Junction,Kolkata
13159,Kolkata,Jogbani
12322,Mumbai Cst,Howrah Junction
12301,Howrah Junction,New Delhi
12305,Howrah Junction,New Delhi
12302,New Delhi,Howrah Junction
11020,Bhubaneswar,Mumbai Cst
11019,Mumbai Cst,Bhubaneswar
17211,Machelipatnam,Yesvantpur Junction
17212,Yesvantpur Junction,Machelipatnam
12647,Coimbatore Junction,H Nizamuddin
12648,H Nizamuddin,Coimbatore Junction
10112,Madgaon,Mumbai Cst
10111,Mumbai Cst,Madgaon
11304,C Shahumharaj T,Hyderabad Decan
17004,C Shahumharaj T,Hyderabad Decan
1031,C Shahumharaj T,Hyderabad Decan
7144,C Shahumharaj T,Hyderabad Decan
1206,C Shahumharaj T,Lokmanyatilak T
11404,C Shahumharaj T,Nagpur
11052,C Shahumharaj T,Solapur Junction
1407,C Shahumharaj T,Solapur Junction
18006,Jagdalpur,Howrah Junction
22648,Trivandrum Cntl,Korba
18698,Patna Junction,Murliganj
18697,Murliganj,Patna Junction
4313,Kota Junction,Bareilly
59821,Kota Junction,Bhind
99734,Kota Junction,Hanumangarh Junction
9734,Kota Junction,Hanumangarh Junction
22981,Kota Junction,Shri Ganganagar
7004,Kota Junction,Hyderabad Decan
59801,Kota Junction,Jaipur
12060,H Nizamuddin,Kota Junction
19803,Kota Junction,Jammu Tawi
9807,Kota Junction,H Nizamuddin
9809,Kota Junction,H Nizamuddin
13238,Kota Junction,Patna Junction
13240,Kota Junction,Patna Junction
9801,Kota Junction,Udaipur City
19805,Kota Junction,Udhampur
9805,Kota Junction,Udhampur
12676,Coimbatore Junction,Chennai Central
12675,Chennai Central,Coimbatore Junction
11030,C Shahumharaj T,Mumbai Cst
11029,Mumbai Cst,C Shahumharaj T
8796,Korba,Raipur Junction
22647,Korba,Trivandrum Cntl
18517,Korba,Vishakapatnam
58502,Kirandul,Vishakapatnam
4806,Khairthal,Alwar
17406,Adilabad,Tirupati
17405,Tirupati,Adilabad
24512,Bulandshahr,Allahabad Junction
2003,Mumbai Cst,Karmali
1042,Karmali,Mumbai Cst
2005,Lokmanyatilak T,Karmali
1043,Lokmanyatilak T,Karmali
1041,Mumbai Cst,Karmali
1002,Karmali,Lokmanyatilak T
22116,Karmali,Lokmanyatilak T
1044,Karmali,Lokmanyatilak T
2045,Lokmanyatilak T,Karmali
7113,Karimnagar,Kollam Junction
12762,Karimnagar,Tirupati
2762,Karimnagar,Tirupati
7619,Kurnool Town,Bhopal Junction
18108,Koraput,Rourkela
18511,Koraput,Vishakapatnam
12650,H Nizamuddin,Yesvantpur Junction
12369,Howrah Junction,Haridwar Junction
4119,Howrah Junction,Allahabad Junction
21107,Khajuraho,Varanasi Junction
2449,Khajuraho,H Nizamuddin
22447,Khajuraho,H Nizamuddin
19665,Khajuraho,Udaipur City
12965,Khajuraho,Udaipur City
11016,Gorakhpur Junction,Lokmanyatilak T
11015,Lokmanyatilak T,Gorakhpur Junction
19132,Bhuj,Bandra Terminus
19131,Bandra Terminus,Bhuj
2552,Kamakhya,Yesvantpur Junction
15621,Kamakhya,Anand Vihar Trm
15624,Kamakhya,Bhagat Ki Kothi
5624,Kamakhya,Bhagat Ki Kothi
2510,Kamakhya,Bangalore Cant
13248,Danapur,Kamakhya
15668,Kamakhya,Gandhidham Bg
15620,Kamakhya,Gaya Junction
19710,Kamakhya,Jaipur
55601,Kamakhya,Lumding Junction
12520,Kamakhya,Lokmanyatilak T
5612,Kamakhya,Lokmanyatilak T
22520,Kamakhya,Lokmanyatilak T
15613,Kamakhya,Murkeongselek
2503,Kamakhya,New Delhi
2512,Kamakhya,Pune Junction
15644,Kamakhya,Puri
15662,Kamakhya,Ranchi
15655,Kamakhya,Shmata V D Ktra
5655,Kamakhya,Shmata V D Ktra
641,Kamakhya,Trivandrum Cntl
12552,Kamakhya,Yesvantpur Junction
7151,Kazipet Junction,Nanded
12608,Bangalore Cy Junction,Chennai Central
12607,Chennai Central,Bangalore Cy Junction
53181,Sealdah,Lalgola
12865,Howrah Junction,Purulia Junction
12866,Purulia Junction,Howrah Junction
12161,Lokmanyatilak T,Agra Cantt
12162,Agra Cantt,Lokmanyatilak T
12528,Latur,Mumbai Cst
22108,Latur,Mumbai Cst
1207,Latur,Pandharpur
12038,Ludhiana Junction,New Delhi
14704,Lalgarh Junction,Jaisalmer
53172,Lalgola,Sealdah
53178,Lalgola,Sealdah
14005,Sitamarhi,Anand Vihar Trm
14006,Anand Vihar Trm,Sitamarhi
12861,Vishakapatnam,H Nizamuddin
14114,Dehradun,Allahabad Junction
12180,Agra Cantt,Lucknow Ne
16094,Lucknow Ne,Chennai Central
9408,Lucknow Ne,Ahmedabad Junction
12179,Lucknow Ne,Agra Fort
5029,Lucknow Ne,Anand Vihar Trm
19022,Lucknow Ne,Bandra Terminus
9014,Lucknow Ne,Bandra Terminus
15204,Lucknow Ne,Barauni Junction
12593,Lucknow Ne,Bhopal Junction
1684,Lucknow Ne,Bhopal Junction
15011,Lucknow Ne,Chandigarh
15054,Lucknow Ne,Chhapra
5066,Lucknow Ne,Chhapra
5116,Lucknow Ne,Chhapra
12584,Anand Vihar Trm,Lucknow Ne
12594,Bhopal Junction,Lucknow Ne
12536,Raipur Junction,Lucknow Ne
12531,Gorakhpur Junction,Lucknow Ne
11110,Lucknow Ne,Jhansi Junction
19716,Lucknow Ne,Jaipur
9708,Lucknow Ne,Jaipur
15043,Lucknow Ne,Kathgodam
5045,Lucknow Ne,Lal Kuan
5059,Lucknow Ne,Lal Kuan
2114,Lucknow Ne,Lokmanyatilak T
12108,Lucknow Ne,Lokmanyatilak T
15008,Lucknow Ne,Manduadih
11408,Lucknow Ne,Pune Junction
12104,Lucknow Ne,Pune Junction
1422,Lucknow Ne,Pune Junction
12535,Lucknow Ne,Raipur Junction
12003,Lucknow Ne,New Delhi
12004,New Delhi,Lucknow Ne
9414,Lucknow Nr,Ahmedabad Junction
2112,Lucknow Nr,Lokmanyatilak T
19402,Lucknow Nr,Ahmedabad Junction
4415,Lucknow Nr,Anand Vihar Trm
14210,Lucknow Nr,Vindhyachal
14220,Lucknow Nr,Varanasi Junction
14204,Lucknow Nr,Varanasi Junction
12231,Lucknow Nr,Chandigarh
4437,Lucknow Nr,Delhi
12272,New Delhi,Lucknow Nr
4027,Lucknow Nr,New Delhi
4201,Lucknow Nr,New Delhi
2233,Lucknow Nr,New Delhi
4439,Lucknow Nr,New Delhi
4935,Lucknow Nr,New Delhi
4943,Lucknow Nr,New Delhi
4933,Lucknow Nr,New Delhi
12429,Lucknow Nr,New Delhi
4207,Lucknow Nr,New Delhi
4029,Lucknow Nr,Delhi
4941,Lucknow Nr,New Delhi
4501,Lucknow Nr,Nangal Dam
4923,Lucknow Nr,Nangal Dam
22684,Lucknow Nr,Yesvantpur Junction
12540,Lucknow Nr,Yesvantpur Junction
14615,Lal Kuan,Amritsar Junction
12354,Lal Kuan,Howrah Junction
5060,Lal Kuan,Lucknow Ne
5046,Lal Kuan,Lucknow Ne
4419,Lal Kuan,New Delhi
2039,Lal Kuan,New Delhi
55602,Lumding Junction,Kamakhya
15651,Guwahati,Jammu Tawi
15652,Jammu Tawi,Guwahati
